IUFT QC gate encodings (8682 entries):
                             zfc: θ=  40.0°  φ=   0.0°  ψ= 270.0°
                           zfc_t: θ= 140.0°  φ= 260.0°  ψ= 149.4°
                          zfc_fe: θ= 160.0°  φ= 360.0°  ψ=  90.0°
                        clink_l8: θ= 180.0°  φ= 360.0°  ψ=  90.0°
  clink_layer0_frustrated_belnap5: θ=  60.0°  φ=  90.0°  ψ= 270.0°
   clink_layer1_electron_orbital: θ=  60.0°  φ=   0.0°  ψ= 270.0°
               clink_layer2_atom: θ= 100.0°  φ= 150.0°  ψ= 149.4°
           clink_layer3_molecule: θ= 140.0°  φ= 110.0°  ψ=  90.0°
               clink_layer4_cell: θ= 160.0°  φ= 220.0°  ψ=  90.0°
            clink_layer5_mitosis: θ= 160.0°  φ= 320.0°  ψ=  90.0°
            clink_layer6_meiosis: θ= 160.0°  φ= 190.0°  ψ=  90.0°
             clink_layer7_tissue: θ= 160.0°  φ= 260.0°  ψ=  90.0°
            temporal_mathematics: θ= 140.0°  φ= 250.0°  ψ=  90.0°
                     schrodinger: θ=  90.0°  φ= 190.0°  ψ= 270.0°
                  heat_diffusion: θ=  70.0°  φ=   0.0°  ψ= 270.0°
                   navier_stokes: θ= 100.0°  φ= 120.0°  ψ=  90.0°
                   wave_equation: θ=  90.0°  φ= 250.0°  ψ= 270.0°
                        einstein: θ= 140.0°  φ= 290.0°  ψ= 149.4°
   universal_imscriptive_grammar: θ= 100.0°  φ= 320.0°  ψ=  90.0°
                           o_inf: θ= 180.0°  φ= 360.0°  ψ=  90.0°
                             o_0: θ=   0.0°  φ=   0.0°  ψ= 270.0°
                            yhwh: θ= 160.0°  φ= 290.0°  ψ=  90.0°
                        graviton: θ= 100.0°  φ= 170.0°  ψ=  90.0°
                          photon: θ= 140.0°  φ= 150.0°  ψ=  90.0°
                        electron: θ=  30.0°  φ= 110.0°  ψ= 270.0°
                         neutron: θ= 110.0°  φ= 260.0°  ψ=  90.0°
                          proton: θ=  20.0°  φ=  30.0°  ψ= 270.0°
                            hsoa: θ= 100.0°  φ= 360.0°  ψ=  90.0°
           birch_swinnerton_dyer: θ= 100.0°  φ= 230.0°  ψ= 149.4°
                hodge_conjecture: θ= 160.0°  φ= 110.0°  ψ= 149.4°
             yang_mills_mass_gap: θ=  60.0°  φ=   0.0°  ψ= 270.0°
              collatz_conjecture: θ=   0.0°  φ=  90.0°  ψ= 149.4°
      odd_perfect_number_theorem: θ= 120.0°  φ= 200.0°  ψ= 270.0°
            psychedelic_baseline: θ=   0.0°  φ=  60.0°  ψ= 270.0°
