0x5b8fd0	⊢⊞⊞⋈⋈⋈⊞⋈⋈⊞⊞⊞⊙
0x76882a	⊢⊞⊞⋈⋈⊞⋈⋈⊞⋈⊞⋈⋈⊞⋈⊞⊞≻⋈⊤∈⋈⊙⋈⊤∈⊤∈⊤∈∋⋈⋈⋈⊤∈⋈⊙⊡∋⋈⊣
0x783ec5	⊢⋈⋈⋈⋈⋈⋈⊞⋈⋈⋈⊞⊤∈⊤∈⋈≺⋈⋈⊞⋈⋈⋈⋈⋈⋈≺⋈⊤∈⋈⊤⋈⊥⋈⊞⋈⊤∈⋈⊤∈⋈⊞⊞∋⊞⋈⋈∋⊤∈⋈⋈⊤⋈⊥⊞⋈⊞⋈⋈⊤∈⋈⊤∈⋈⊞⊞∋⊤∈⊞⊞⊤⊞≺⊞∋⊞⋈⊥⊞⋈⊞⊥⊤⊥⊞∈⊞∋⋈⋈≻∋⋈⋈⋈≻⊤∈⋈⋈⋈⋈⋈⋈⋈⋈⋈≻⋈⋈∋⊞⋈⋈⋈⋈⋈⋈⊣∋⊞⊞⊞≻∋⋈⋈⋈⋈⋈⋈⋈⊤∈⋈⋈⊤∈⋈⊞⊞⊤⊞⋈⋈⊞⊤∈∋⊞⋈⋈⋈∋⊤⋈⊥⋈⊤∈⋈⊞⊞∋⊞⊞⋈⊞⊤∈≺⋈⊞⋈∋⋈⊞⋈⋈⋈⋈⊣⋈⋈⋈⋈≻≺⊞≻⋈⊞⊤∈⊞⋈⊞≺⋈⊞∋⋈⊤∈⋈⊤∈⋈⊙⊡∋⊞⋈⊣
0x768375	⊢⋈⋈⋈⋈⊞⋈⋈⋈⊞⋈≻⋈⋈⊤∈⊤∈⊞⋈≻≺⋈⋈⋈⋈≺⊞⋈⋈⋈≻⋈⊞⋈≻⋈⋈⋈⋈≻∋⊤∈⋈⋈⋈≺∋⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈⋈∋⊞⋈⋈⋈⋈⊣
0x76f6b4	⊢⋈⋈⋈⊞⊤∈⊞⊞⋈∋⋈⋈⋈⊤∈⊞≺⋈⊞⋈⊞⊤∈⋈⊞⊞⊞⊤∈⊞⋈⊞⊞⊞⊞⊞⊞≺⊞⊞⊞⋈≺⊞⊞⊞⋈∋⋈⊞⊞⊞⊤∈∋⊤∈≺⊤∈⊤∈⋈⊞⊤∈⊤∈⊤∈⊤≺⊤∈⊤∈⊤∋⊥≺⋈⋈≺⋈⋈⊞∋⊤∈≺⊞⊞≺⊞⋈⊞∋⊤∈⊞∋⋈⋈⊤∈⊞≺⋈⊤∈⋈⊤∈⊞⋈⊞⊞⊞⊞≺⊞⊞≺⊞⊞∋⊞⊞⊞∋⊞⊞⊞∋⊞⊤∈∋⊤∈≺⊤∈⊤∈⋈⊞⊤∈⊤∈⊤∈⊤≺⊤∈⊤∈⊤∋⊥≺⋈⋈≺⋈⋈⊞∋⊤∈∋⊞⊞∋⊞⊞⋈⋈⊣
0x7bf6e0	⊢⋈⋈⊤∈⋈⋈⊞⊞⊞⋈≺⋈⋈⊞∋⊤∈⊞∋⊞⊞⊤∈∋⋈⋈⊤∈⊞≺⋈⊞⋈⊞⊤∈⋈⊞⊞⊞⊤∈⊞⋈⊞⊞⊞⊞⊞⊞≺⊞⊞⊞⋈≺⊞⊞⊞⋈⊞∋⊞⊤∈⊤∈⊤∈⋈⊞⊤∈⊤∈⊤∈⊤⊥≺⊤∈⊤∈⊤⊥≺⋈⋈≺⋈∋⋈⋈≺⊞∋⊞⊞⊣
0x78feec	⊢⋈⋈⋈⋈⋈⋈⊞⋈⋈⋈⋈⊞⋈⋈⋈≻⊞∋⋈⋈≻⋈⊤∈⊤∈⋈≺⋈∋⊞⊞⋈⋈⊞⋈⋈⋈⋈⋈⊣
0x7c92a0	⊢⋈⋈⋈⋈⋈⋈⊞⋈⋈⊞⊞⋈⋈⋈⋈≻⋈⋈⋈⋈⋈⋈⋈⊞⋈⋈⋈⋈⊞∋⋈∋⊤∈⊤∈⋈⊞⊤∈⊤∈⊤∈∋⊤∈⊤⊤⋈∈≺∈∋⊤⋈∈≺⋈⊤∈⊞⊤∈⋈⋈⋈⋈⊞⋈⊞⋈⊞⋈⋈⊞⊞⋈⋈⋈⋈⋈∋⊤∈⋈⋈∈⊤⋈⊥⊤⊥⋈∋⊤∈⋈⊞⊤∈⊞⋈⊤∈⊞⊤⋈∈⊞≺⋈⊤∈⊞⋈≺⊤⋈⋈⊥⋈∋⊤∈⊞⊤∈⊞⊤∈⋈⊤∈⋈⋈⊤⋈∈∋⋈⋈∋⊞⊤∈≺⊤⋈⋈⊥⊞⋈⋈⋈⋈≺⋈∋⋈∋⋈⋈∋⊞⊞⋈⋈⊞⋈⋈⋈⋈⋈⋈⊣⋈≺∋⋈⋈≺⋈≺⊞⊤⊥⊞⋈≻∋⊞⋈⋈≻∋⊞⋈≻∋⋈⊞⋈≻⋈⋈⊙⊤∈⊡⋈⊣⋈⋈≻⋈⋈⊙⊤∈⊡⋈⊣⋈⋈≻⋈⋈⊙⊤∈⊡⋈⊣⋈⋈≻⋈⋈⊙⊤∈⊡⋈⊣⋈⋈≻⋈⋈⊙⊤∈⊡⋈⊣⋈⋈≻⋈⋈⊙⊤∈⊡⋈⊣⋈⋈≻⋈⊞⊤∈⊞⋈⊞≺⋈⊞∋⋈⊤∈⋈⊤∈⋈⊙⊡∋⊞⋈⊣
0x5b90b9	⊢⋈⋈⋈⋈⊞⋈⊞⊞∋⊤∈⋈⊞⋈⊤∈⊞≺⋈⊞⋈⊞⊤∈⋈⊞⊞⊞⊤∈⋈⊞⊞⊞⊞⊞⊞⊞≺⊞⊞⊞⋈≺⊞⊞⊞⋈∋⊞⊤∈≺⋈∋⊞⊞⋈⊣
0x5b916d	⊢⋈⊞⊞⊞⋈∋⋈⋈⊤∈⊞≺⋈⊞⋈⊞⊤∈⋈⊞⊞⊞⊤∈⊞⋈⊞⊞⊞⊞⊞⊞≺⊞⊞⊞⋈≺⊞⊞⊞⋈∋⋈⊤∈⋈∈∋⊤∈⋈⊞⊤∈⊤∈⊤∈⊤≺⊤∈⊤∈⊤∋⊥≺⋈⋈≺⋈⋈⊞∋⊤∈∋⊞⊞⊤∈⊞∋⋈⊣
0x5b927e	⊢⋈⊤∈⊤∈⋈⋈⊤∈⋈⋈⊤∈≺⊞≺⊤∈⊞⊞⊤⋈∈∋⊞⋈⊞∋⊤∈⋈⊞⋈⊞∈⊤∈⋈⊞⊞∈⋈≺⋈⊤∈∋⊞⊞∋⋈⊞⊤∈⋈⊞⊞⋈⊞⊞⊤∈∋⊞≺⋈∋⋈∋⋈⊣∋⊞⊤⊞≺
