abandon	⊢⊢⊢⊢◻∋∋∈∈⊣⊥⊤  
ability	⊢⊢⊢⊢◻⊥⊢⊤⊥◻≻⊞  
able	⊢⊢⊢⊢⊢⊢⊢⊣⊢⊤⊣≻  
about	⊢⊢⊢⊢⊢⊢≻⋈⊢◻◻⊤  
above	⊢⊢⊢⊢⊢⊢≻⋈⊣⊢⊢⊤  
absent	⊢⊢⊢⊢⊢⊤≺⊤⊤∋⊤⊤  
absorb	⊢⊢⊢⊢⊢⊤≺⊤⊥⊞⊙⊤  
abstract	⊢⊢≻≻⊥⊤∋∈⊢⊤⊥≻  
absurd	⊢⊢⊢⊢⊢⊤≺∈⊢⊤⊣⊣  
abuse	⊢⊢⊢⊢⊢⊢≻⋈≺⊤⊞≻  
access	⊢⊢⊢⊢⊢⊤⋈≺⊞◻◻⋈  
accident	⊢⊢≻≺⊣⊙⊤≻⊥≺≺◻  
account	⊢⊢⊢⊣⊢⊢⊥∋≺∈⊙⊤  
accuse	⊢⊢⊢⊢⊢⊤⋈⋈⊤⊙⊞≻  
achieve	⊢⊢⊢⊣⊢⊣∋⊥≻≺⊥⊤  
acid	⊢⊢⊢⊢⊢⊢⊢⊣⊢⊥∋⊣  
acoustic	⊢⊢≻≺∈⊙⋈⊢⊞⊣∈≺  
acquire	⊢⊢⊢⊣⊢≺≺◻⋈∈∋≻  
across	⊢⊢⊢⊢⊢⊤⊤∈∈⊢⊞∋  
act	⊢⊢⊢⊢⊢⊢⊢⊢⊢⊤⊥≻  
action	⊢⊢⊢⊢⊢⊤⊤⊙≻≺⊣≻  
actor	⊢⊢⊢⊢⊢⊢≻⊤≻⋈⊥⊥  
actress	⊢⊢⊢⊣⊢≺⊞⊣≺⋈≺⊣  
actual	⊢⊢⊢⊢⊢⊤⊤⊙∋⊣≻∈  
adapt	⊢⊢⊢⊢⊢⊢≻⊤⊤⊥∈≻  
add	⊢⊢⊢⊢⊢⊢⊢⊢⊢⊤⊞⊣  
addict	⊢⊢⊢⊢⊢⊤∈∈∋⋈⊤⊤  
address	⊢⊢⊢⊣⊢⊤⊥∋≻⋈⊤⋈  
adjust	⊢⊢⊢⊢⊢⊤∋⊢⊥⊢≺◻  
admit	⊢⊢⊢⊢⊢⊢≻⊤⊞⊙◻⊤  
adult	⊢⊢⊢⊢⊢⊢≻∈≻≻⊢≻  
advance	⊢⊢⊢⊣⊢⊙⊞⊙⊙⊣⋈≻  
advice	⊢⊢⊢⊢⊢⊤∋◻⊙⋈⊙⊙  
aerobic	⊢⊢⊢⊣⊣⊣⊢◻⊢≻≺≺  
affair	⊢⊢⊢⊢⊢⊤⊞◻⊤◻∈⊥  
afford	⊢⊢⊢⊢⊢⊤◻⊢⊢⊢⊢⋈  
afraid	⊢⊢⊢⊢⊢⊤◻⊞⊞∋⊙∋  
again	⊢⊢⊢⊢⊢⊢≻⊙≺⊞≻⊙  
age	⊢⊢⊢⊢⊢⊢⊢⊢⊢∈⋈◻  
agent	⊢⊢⊢⊢⊢⊢≻⊙⊤∋⊤⊤  
agree	⊢⊢⊢⊢⊢⊢≻⊙⊞◻⊤⊙  
ahead	⊢⊢⊢⊢⊢⊢≻⊥⋈⊥∋⊣  
aim	⊢⊢⊢⊢⊢⊢⊢⊢⊢∈⊞⊣  
air	⊢⊢⊢⊢⊢⊢⊢⊢⊢∈⊞∈  
airport	⊢⊢⊢⊣≻⊙≺⊙⋈≺≺◻  
aisle	⊢⊢⊢⊢⊢⊢≻⊞⊞≺≻⊙  
alarm	⊢⊢⊢⊢⊢⊢≺⊣⊢◻⋈⊣  
album	⊢⊢⊢⊢⊢⊢≺⊣⊣⋈◻∋  
alcohol	⊢⊢⊢⊣≺⊙⊢∈∋◻⊙∈  
alert	⊢⊢⊢⊢⊢⊢≺⊣≻∋∋⊙  
alien	⊢⊢⊢⊢⊢⊢≺⊣⋈⊣⋈◻  
all	⊢⊢⊢⊢⊢⊢⊢⊢⊢∋⋈⊥  
alley	⊢⊢⊢⊢⊢⊢≺⊣⊤⋈⊙⊣  
allow	⊢⊢⊢⊢⊢⊢≺⊣⊤∈∈⊤  
almost	⊢⊢⊢⊢⊢∋⊢⋈⊤⊢∈≻  
alone	⊢⊢⊢⊢⊢⊢≺⊣∈⊥⋈◻  
alpha	⊢⊢⊢⊢⊢⊢≺⊣∋⊣≺⊞  
already	⊢⊢⊢⊣≺⊞∋⊥⋈⊣⊞⋈  
also	⊢⊢⊢⊢⊢⊢⊢⊣⋈⊥⊣≺  
alter	⊢⊢⊢⊢⊢⊢≺⊣⊙⊥⊣∈  
always	⊢⊢⊢⊢⊢∋⊣⊣⊤⊣∋∋  
amateur	⊢⊢⊢⊣⋈⊢∈⋈⊢⊤≻≺  
amazing	⊢⊢⊢⊣⋈⊢∈⊥⊞⋈≻⊣  
among	⊢⊢⊢⊢⊢⊢≺≻∈≻⊣⋈  
amount	⊢⊢⊢⊢⊢∋≻⊙⊣⊥⊞⊙  
